Ranking,name_of_movie,year,rating
1,The Shawshank Redemption,1994,9.2
2,The Godfather,1972,9.2
3,The Dark Knight,2008,9
4,The Godfather Part II,1974,9
5,12 Angry Men,1957,9
6,Schindler's List,1993,8.9
7,The Lord of the Rings: The Return of the King,2003,8.9
8,Pulp Fiction,1994,8.8
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
10,"Il buono, il brutto, il cattivo",1966,8.8
11,Spider-Man: Across the Spider-Verse,2023,8.8
12,Forrest Gump,1994,8.8
13,Fight Club,1999,8.7
14,The Lord of the Rings: The Two Towers,2002,8.7
15,Inception,2010,8.7
16,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
17,The Matrix,1999,8.7
18,GoodFellas,1990,8.7
19,One Flew Over the Cuckoo's Nest,1975,8.6
20,Se7en,1995,8.6
21,It's a Wonderful Life,1946,8.6
22,Shichinin no samurai,1954,8.6
23,The Silence of the Lambs,1991,8.6
24,Saving Private Ryan,1998,8.6
25,Cidade de Deus,2002,8.6
26,Interstellar,2014,8.6
27,La vita è bella,1997,8.6
28,The Green Mile,1999,8.6
29,Star Wars,1977,8.5
30,Terminator 2: Judgment Day,1991,8.5
31,Back to the Future,1985,8.5
32,Sen to Chihiro no kamikakushi,2001,8.5
33,The Pianist,2002,8.5
34,Psycho,1960,8.5
35,Gisaengchung,2019,8.5
36,Léon,1994,8.5
37,The Lion King,1994,8.5
38,Gladiator,2000,8.5
39,American History X,1998,8.5
40,The Departed,2006,8.5
41,Whiplash,2014,8.5
42,The Prestige,2006,8.5
43,The Usual Suspects,1995,8.5
44,Casablanca,1942,8.5
45,Hotaru no haka,1988,8.5
46,Seppuku,1962,8.5
47,The Intouchables,2011,8.5
48,Modern Times,1936,8.4
49,Once Upon a Time in the West,1968,8.4
50,Nuovo Cinema Paradiso,1988,8.4
51,Rear Window,1954,8.4
52,Alien,1979,8.4
53,City Lights,1931,8.4
54,Apocalypse Now,1979,8.4
55,Memento,2000,8.4
56,Django Unchained,2012,8.4
57,Raiders of the Lost Ark,1981,8.4
58,WALL·E,2008,8.4
59,The Lives of Others,2006,8.4
60,Sunset Blvd.,1950,8.4
61,Paths of Glory,1957,8.4
62,Avengers: Infinity War,2018,8.4
63,The Shining,1980,8.4
64,The Great Dictator,1940,8.4
65,Witness for the Prosecution,1957,8.4
66,Spider-Man: Into the Spider-Verse,2018,8.4
67,Aliens,1986,8.3
68,American Beauty,1999,8.3
69,The Dark Knight Rises,2012,8.3
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
71,Inglourious Basterds,2009,8.3
72,Oldeuboi,2003,8.3
73,Coco,2017,8.3
74,Amadeus,1984,8.3
75,Toy Story,1995,8.3
76,Braveheart,1995,8.3
77,Das Boot,1981,8.3
78,Joker,2019,8.3
79,Avengers: Endgame,2019,8.3
80,Mononoke-hime,1997,8.3
81,Good Will Hunting,1997,8.3
82,Once Upon a Time in America,1984,8.3
83,Kimi no na wa.,2016,8.3
84,3 Idiots,2009,8.3
85,Singin' in the Rain,1952,8.3
86,Tengoku to jigoku,1963,8.3
87,Requiem for a Dream,2000,8.3
88,Capharnaüm,2018,8.3
89,Toy Story 3,2010,8.3
90,Star Wars: Episode VI - Return of the Jedi,1983,8.3
91,Idi i smotri,1985,8.3
92,Eternal Sunshine of the Spotless Mind,2004,8.3
93,2001: A Space Odyssey,1968,8.3
94,Jagten,2012,8.3
95,Reservoir Dogs,1992,8.3
96,Lawrence of Arabia,1962,8.2
97,Citizen Kane,1941,8.2
98,M - Eine Stadt sucht einen Mörder,1931,8.2
99,Ikiru,1952,8.2
100,North by Northwest,1959,8.2
101,The Apartment,1960,8.2
102,Vertigo,1958,8.2
103,Le fabuleux destin d'Amélie Poulain,2001,8.2
104,Double Indemnity,1944,8.2
105,A Clockwork Orange,1971,8.2
106,Hamilton,2020,8.2
107,Full Metal Jacket,1987,8.2
108,Scarface,1983,8.2
109,Incendies,2010,8.2
110,Heat,1995,8.2
111,Up,2009,8.2
112,To Kill a Mockingbird,1962,8.2
113,The Sting,1973,8.2
114,Jodaeiye Nader az Simin,2011,8.2
115,Metropolis,1927,8.2
116,L.A. Confidential,1997,8.2
117,Die Hard,1988,8.2
118,Indiana Jones and the Last Crusade,1989,8.2
119,Snatch,2000,8.2
120,Taxi Driver,1976,8.2
121,Ladri di biciclette,1948,8.2
122,Taare Zameen Par,2007,8.2
123,1917,2019,8.2
124,Dangal,2016,8.2
125,Der Untergang,2004,8.2
126,Top Gun: Maverick,2022,8.2
127,Per qualche dollaro in più,1965,8.2
128,Batman Begins,2005,8.2
129,The Kid,1921,8.2
130,Some Like It Hot,1959,8.2
131,The Father,2020,8.2
132,The Wolf of Wall Street,2013,8.2
133,All About Eve,1950,8.2
134,Green Book,2018,8.2
135,Judgment at Nuremberg,1961,8.2
136,Ran,1985,8.2
137,The Truman Show,1998,8.2
138,Casino,1995,8.2
139,There Will Be Blood,2007,8.2
140,Pan's Labyrinth,2006,8.2
141,Unforgiven,1992,8.2
142,Shutter Island,2010,8.2
143,The Sixth Sense,1999,8.2
144,Jurassic Park,1993,8.2
145,A Beautiful Mind,2001,8.2
146,Yôjinbô,1961,8.1
147,The Treasure of the Sierra Madre,1948,8.1
148,Monty Python and the Holy Grail,1975,8.1
149,No Country for Old Men,2007,8.1
150,Kill Bill: Vol. 1,2003,8.1
151,The Great Escape,1963,8.1
152,Rashômon,1950,8.1
153,The Thing,1982,8.1
154,Finding Nemo,2003,8.1
155,Spider-Man: No Way Home,2021,8.1
156,The Elephant Man,1980,8.1
157,Chinatown,1974,8.1
158,Raging Bull,1980,8.1
159,V for Vendetta,2005,8.1
160,Gone with the Wind,1939,8.1
161,Dial M for Murder,1954,8.1
162,Inside Out,2015,8.1
163,"Lock, Stock and Two Smoking Barrels",1998,8.1
164,Hauru no ugoku shiro,2004,8.1
165,El secreto de sus ojos,2009,8.1
166,Guardians of the Galaxy Vol. 3,2023,8.1
167,"Three Billboards Outside Ebbing, Missouri",2017,8.1
168,Prisoners,2013,8.1
169,Trainspotting,1996,8.1
170,The Bridge on the River Kwai,1957,8.1
171,Fargo,1996,8.1
172,Warrior,2011,8.1
173,Gran Torino,2008,8.1
174,Catch Me If You Can,2002,8.1
175,Tonari no Totoro,1988,8.1
176,Million Dollar Baby,2004,8.1
177,Bacheha-Ye aseman,1997,8.1
178,The Gold Rush,1925,8.1
179,Blade Runner,1982,8.1
180,Klaus,2019,8.1
181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
182,12 Years a Slave,2013,8.1
183,Before Sunrise,1995,8.1
184,The Grand Budapest Hotel,2014,8.1
185,Ben-Hur,1959,8.1
